TEAMNAME,SHORTNAME,STADIUM,CHANTS SLOT,FLAG SLOT,PL.NAME 1,NR 1,PL.NAME 2,NR 2,PL.NAME 3,NR 3,PL.NAME 4,NR 4,PL.NAME 5,NR 5,PL.NAME 6,NR 6,PL.NAME 7,NR 7,PL.NAME 8,NR 8,PL.NAME 9,NR 9,PL.NAME 10,NR 10,PL.NAME 11,NR 11,PL.NAME 12,NR 12,PL.NAME 13,NR 13,PL.NAME 14,NR 14,PL.NAME 15,NR 15,PL.NAME 16,NR 16,PL.NAME 17,NR 17,PL.NAME 18,NR 18,PL.NAME 19,NR 19,PL.NAME 20,NR 20,PL.NAME 21,NR 21,PL.NAME 22,NR 22,PL.NAME 23,NR 23,PL.NAME 24,NR 24,PL.NAME 25,NR 25,PL.NAME 26,NR 26,PL.NAME 27,NR 27,PL.NAME 28,NR 28,PL.NAME 29,NR 29,PL.NAME 30,NR 30,PL.NAME 31,NR 31,PL.NAME 32,NR 32,LONG FK,SHORT FK,FK2,CORNER L,CORNER R,PENALTY,CAPTAIN,CB OVERLAP,GO UP 1,GO UP 2,GO UP 3,F0 PL1 X/Y,F0 PL2 X/Y,F0 PL3 X/Y,F0 PL4 X/Y,F0 PL5 X/Y,F0 PL6 X/Y,F0 PL7 X/Y,F0 PL8 X/Y,F0 PL9 X/Y,F0 PL10 X/Y,F0 PL11 X/Y,F0 ROLE PL1,F0 ROLE PL2,F0 ROLE PL3,F0 ROLE PL4,F0 ROLE PL5,F0 ROLE PL6,F0 ROLE PL7,F0 ROLE PL8,F0 ROLE PL9,F0 ROLE PL10,F0 ROLE PL11,F0 ATTACK PL1,F0 ATTACK PL2,F0 ATTACK PL3,F0 ATTACK PL4,F0 ATTACK PL5,F0 ATTACK PL6,F0 ATTACK PL7,F0 ATTACK PL8,F0 ATTACK PL9,F0 ATTACK PL10,F0 ATTACK PL11,F0 DEFENCE PL1,F0 DEFENCE PL2,F0 DEFENCE PL3,F0 DEFENCE PL4,F0 DEFENCE PL5,F0 DEFENCE PL6,F0 DEFENCE PL7,F0 DEFENCE PL8,F0 DEFENCE PL9,F0 DEFENCE PL10,F0 DEFENCE PL11,FA PL1 X/Y,FA PL2 X/Y,FA PL3 X/Y,FA PL4 X/Y,FA PL5 X/Y,FA PL6 X/Y,FA PL7 X/Y,FA PL8 X/Y,FA PL9 X/Y,FA PL10 X/Y,FA PL11 X/Y,FA ROLE PL1,FA ROLE PL2,FA ROLE PL3,FA ROLE PL4,FA ROLE PL5,FA ROLE PL6,FA ROLE PL7,FA ROLE PL8,FA ROLE PL9,FA ROLE PL10,FA ROLE PL11,FA ATTACK PL1,FA ATTACK PL2,FA ATTACK PL3,FA ATTACK PL4,FA ATTACK PL5,FA ATTACK PL6,FA ATTACK PL7,FA ATTACK PL8,FA ATTACK PL9,FA ATTACK PL10,FA ATTACK PL11,FA DEFENCE PL1,FA DEFENCE PL2,FA DEFENCE PL3,FA DEFENCE PL4,FA DEFENCE PL5,FA DEFENCE PL6,FA DEFENCE PL7,FA DEFENCE PL8,FA DEFENCE PL9,FA DEFENCE PL10,FA DEFENCE PL11,FB PL1 X/Y,FB PL2 X/Y,FB PL3 X/Y,FB PL4 X/Y,FB PL5 X/Y,FB PL6 X/Y,FB PL7 X/Y,FB PL8 X/Y,FB PL9 X/Y,FB PL10 X/Y,FB PL11 X/Y,FB ROLE PL1,FB ROLE PL2,FB ROLE PL3,FB ROLE PL4,FB ROLE PL5,FB ROLE PL6,FB ROLE PL7,FB ROLE PL8,FB ROLE PL9,FB ROLE PL10,FB ROLE PL11,FB ATTACK PL1,FB ATTACK PL2,FB ATTACK PL3,FB ATTACK PL4,FB ATTACK PL5,FB ATTACK PL6,FB ATTACK PL7,FB ATTACK PL8,FB ATTACK PL9,FB ATTACK PL10,FB ATTACK PL11,FB DEFENCE PL1,FB DEFENCE PL2,FB DEFENCE PL3,FB DEFENCE PL4,FB DEFENCE PL5,FB DEFENCE PL6,FB DEFENCE PL7,FB DEFENCE PL8,FB DEFENCE PL9,FB DEFENCE PL10,FB DEFENCE PL11,ORD 1,ORD 2,ORD 3,ORD 4,ORD 5,ORD 6,ORD 7,ORD 8,ORD 9,ORD 10,ORD 11,ORD 12,ORD 13,ORD 14,ORD 15,ORD 16,ORD 17,ORD 18,ORD 19,ORD 20,ORD 21,ORD 22,ORD 23,ORD 24,ORD 25,ORD 26,ORD 27,ORD 28,ORD 29,ORD 30,ORD 31,ORD 32,F0 AD CARD1,F0 AD CARD2,F0 AD CARD3,F0 AD CARD4,F0 AD CARD5,F0 AD CARD6,F0 AD CARD7,F0 AD CARD8,F0 AD CARD9,F0 AD CARD10,F0 AD CARD11,F0 TS PLAYER SUPP,F0 TS SUPP RANGE,F0 TS POS SWITCH,F0 TS ATT STYLE,F0 TS PRESSING,F0 TS DEF LINE,F0 TS COMPACTNESS,F0 TS DEF STRATEGY,FA AD CARD1,FA AD CARD2,FA AD CARD3,FA AD CARD4,FA AD CARD5,FA AD CARD6,FA AD CARD7,FA AD CARD8,FA AD CARD9,FA AD CARD10,FA AD CARD11,FA TS PLAYER SUPP,FA TS SUPP RANGE,FA TS POS SWITCH,FA TS ATT STYLE,FA TS PRESSING,FA TS DEF LINE,FA TS COMPACTNESS,FA TS DEF STRATEGY,FB AD CARD1,FB AD CARD2,FB AD CARD3,FB AD CARD4,FB AD CARD5,FB AD CARD6,FB AD CARD7,FB AD CARD8,FB AD CARD9,FB AD CARD10,FB AD CARD11,FB TS PLAYER SUPP,FB TS SUPP RANGE,FB TS POS SWITCH,FB TS ATT STYLE,FB TS PRESSING,FB TS DEF LINE,FB TS COMPACTNESS,FB TS DEF STRATEGY,TEAMNAME 1,TEAMNAME 2,TEAMNAME 3,TEAMNAME 4,TEAMNAME 5,TEAMNAME 6,TEAMNAME 7,TEAMNAME 8,TEAMNAME 9,TEAMNAME 10,TEAMNAME 11,TEAMNAME 12,TEAMNAME 13,TEAMNAME 14,TEAMNAME 15,TEAMNAME 16,TEAMNAME 17,TEAMNAME 18,TEAMNAME 19,TEAMNAME 20,TACTICAL ASSISTANCE 1,TACTICAL ASSISTANCE 2,TACTICAL ASSISTANCE 3,P.TACTICS 1,P.TACTICS 2,P.TACTICS 3
马洛卡,MAR,81,16,177,AOUATE,13,GEROMEL,14,NUNES,16,HUTTON,2,LUNA,20,J. MARQUEZ,11,PINA,5,EMILIO NSUE,8,PEREIRA,7,G. DOS SANTOS,9,VICTOR,18,CALATAYUD,1,ANDERSON C.,4,A. FONTAS,24,XIMO NAVARRO,27,A. LOPEZ,6,BIGAS,17,MARTI,19,JOAO VICTOR,3,TISSONE,12,ARIZMENDI,22,ALEJANDRO,21,HEMED,10,YERAY,26,MINO,25,CHARLIE,32,KEVIN,23,MARC,35,ALVARO,30,,255,,255,,255,9,9,5,9,9,9,2,255,255,255,255,-,9x63,9x41,13x90,13x15,23x62,24x42,30x89,30x16,36x43,42x60,0,7,1,9,8,21,17,23,22,33,38,0,0,0,17,17,68,17,48,24,40,16,1,1,0,1,1,1,1,1,1,1,1,-,9x63,9x41,13x90,13x15,23x62,24x42,30x89,30x16,36x43,42x60,0,7,1,9,8,21,17,23,22,33,38,0,0,0,17,17,68,17,48,24,40,16,1,1,0,1,1,1,1,1,1,1,1,-,9x63,9x41,13x90,13x15,23x62,24x42,30x89,30x16,36x43,42x60,0,7,1,9,8,21,17,23,22,33,38,0,0,0,17,17,68,17,48,24,40,16,1,1,0,1,1,1,1,1,1,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,10,10,11,8,10,10,10,0,2,2,2,2,2,2,2,2,2,2,2,10,10,11,8,10,10,10,0,2,2,2,2,2,2,2,2,2,2,2,10,10,11,8,10,10,10,0,Mallorca,RCD MALLORCA,RCD MALLORCA,RCD MALLORCA,RCD MALLORCA,馬略卡,RCD MALLORCA,马洛卡,RCD MALLORCA,RCD MALLORCA,RCD MALLORCA,RCD MALLORCA,МАЛЬОРКА,ΜΑΓΙΟΡΚΑ,RCD MALLORCA,RCD MALLORCA,RCD MALLORCA,RCD MALLORCA,RCD MALLORCA,RCD MALLORCA,1,3,2,1,4,0
奥萨苏纳,OSA,73,16,178,A. FERNANDEZ,13,RUBEN,3,FLANO,4,BERTRAN,2,DAMIA,24,LOLO,5,PUNAL,10,ALVARO CEJUDO,16,ARMENTEROS,9,NINO,17,ENRIQUE SOLA,7,RICARDO,25,ARRIBAS,14,OIER,15,NANO,19,RAOUL LOE,23,ANNAN,11,TIMOR,22,SILVA,20,SHOJAEI,8,MIGUEL,6,LLORENTE,12,M. ONWU,18,IMANOL ELIAS,26,RIESGO,1,SISI,27,TORRES,21,,255,,255,,255,,255,,255,6,6,8,7,7,6,6,255,255,255,255,-,10x64,10x42,12x87,12x17,22x43,23x63,30x86,30x18,37x45,42x59,0,7,1,9,8,12,19,23,22,33,38,0,0,0,17,17,17,16,48,40,40,16,1,0,0,1,1,1,1,1,1,1,1,-,10x64,10x42,12x87,12x17,22x43,23x63,30x86,30x18,37x45,42x59,0,7,1,9,8,12,19,23,22,33,38,0,0,0,17,17,17,16,48,40,40,16,1,0,0,1,1,1,1,1,1,1,1,-,10x64,10x42,12x87,12x17,22x43,23x63,30x86,30x18,37x45,42x59,0,7,1,9,8,12,19,23,22,33,38,0,0,0,17,17,17,16,48,40,40,16,1,0,0,1,1,1,1,1,1,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,9,10,10,8,10,10,10,0,2,2,2,2,2,2,2,2,2,2,2,9,10,10,8,10,10,10,0,2,2,2,2,2,2,2,2,2,2,2,9,10,10,8,10,10,10,0,Osasuna,CA OSASUNA,CA OSASUNA,CA OSASUNA,CA OSASUNA,奥沙辛拿,CA OSASUNA,奥萨苏纳,CA OSASUNA,CA OSASUNA,CA OSASUNA,CA OSASUNA,ОСАСУНА,ΟΣΑΣΟΥΝΑ,CA OSASUNA,CA OSASUNA,CA OSASUNA,CA OSASUNA,CA OSASUNA,CA OSASUNA,1,3,2,2,4,0
巴列卡诺,RAV,83,16,179,RUBEN,1,ALEX GALVEZ,5,AMAT,16,TITO,2,CASADO,3,JAVI FUEGO,18,TRASHORRAS,17,LASS.B,19,PITI,10,LEO BAPTISTAO,29,DOMINGUEZ,11,COBENO,25,LABAKA,4,RODRI,6,JORDI,22,ARBILLA,14,NACHO,38,VAZQUEZ,20,ADRIAN,8,J. CARLOS,9,RUBEN RAMIRO,37,TAMUDO,15,DELIBASIC,23,DANI GIMENEZ,13,A. PEREA,33,,255,,255,,255,,255,,255,,255,,255,6,6,10,6,6,8,8,255,255,255,255,-,10x64,10x41,13x88,13x16,22x63,24x42,31x86,31x18,38x59,42x44,0,7,1,9,8,12,19,23,22,33,38,0,0,0,17,17,17,40,20,20,48,48,1,0,0,1,1,1,1,1,1,1,1,-,10x64,10x41,13x88,13x16,22x63,24x42,31x86,31x18,38x59,42x44,0,7,1,9,8,12,19,23,22,33,38,0,0,0,17,17,17,40,20,20,48,48,1,0,0,1,1,1,1,1,1,1,1,-,10x64,10x41,13x88,13x16,22x63,24x42,31x86,31x18,38x59,42x44,0,7,1,9,8,12,19,23,22,33,38,0,0,0,17,17,17,40,20,20,48,48,1,0,0,1,1,1,1,1,1,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,10,10,10,8,9,9,10,0,2,2,2,2,2,2,2,2,2,2,2,10,10,10,8,9,9,10,0,2,2,2,2,2,2,2,2,2,2,2,10,10,10,8,9,9,10,0,Rayo Vallecano,RAYO VALLECANO,RAYO VALLECANO,RAYO VALLECANO,RAYO VALLECANO,華歷簡奴,RAYO VALLECANO,巴列卡诺,RAYO VALLECANO,RAYO VALLECANO,RAYO VALLECANO,RAYO VALLECANO,РАЙО ВАЛЬЕКАНО,ΡΑΓΙΟ ΒΑΓΙΕΚΑΝΟ,RAYO VALLECANO,RAYO VALLECANO,RAYO VALLECANO,RAYO VALLECANO,RAYO VALLECANO,RAYO VALLECANO,1,3,2,1,4,0
皇家马德里,RMA,18,16,180,DIEGO LOPEZ,25,VARANE,2,SERGIO RAMOS,4,ARBELOA,17,F.COENTRAO,5,ALONSO,14,KHEDIRA,6,DI MARIA,22,RONALDO,7,OZIL,10,BENZEMA,9,IKER CASILLAS,1,ADAN,13,PEPE,3,R. CARVALHO,11,R. ALBIOL,18,MARCELO,12,ESSIEN,15,MODRIC,19,CALLEJON,21,KAKA,8,HIGUAIN,20,MORATA,29,JESUS FDEZ.,35,NACHO,27,,255,,255,,255,,255,,255,,255,,255,8,8,4,5,9,8,2,255,255,255,255,-,12x63,12x41,13x87,14x16,23x42,24x63,33x86,33x18,33x53,42x53,0,7,1,9,8,12,19,23,22,26,38,0,0,0,17,16,17,17,24,48,40,40,1,1,1,1,1,1,1,1,1,1,1,-,12x63,12x41,13x87,14x16,23x42,24x63,33x86,33x18,33x53,42x53,0,7,1,9,8,12,19,23,22,26,38,0,0,0,17,16,17,17,24,48,40,40,1,1,1,1,1,1,1,1,1,1,1,-,12x63,12x41,13x87,14x16,23x42,24x63,33x86,33x18,33x53,42x53,0,7,1,9,8,12,19,23,22,26,38,0,0,0,17,16,17,17,24,48,40,40,1,1,1,1,1,1,1,1,1,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,14,9,12,10,13,13,12,0,2,2,2,2,2,2,2,2,2,2,2,14,9,12,10,13,13,12,0,2,2,2,2,2,2,2,2,2,2,2,14,9,12,10,13,13,12,0,Real Madrid,REAL MADRID,REAL MADRID,REAL MADRID,REAL MADRID,皇家馬德里,REAL MADRID,皇家马德里,REAL MADRID,REAL MADRID,REAL MADRID,REAL MADRID,РЕАЛ МАДРИД,ΡΕΑΛ ΜΑΔΡΙΤΗΣ,REAL MADRID,REAL MADRID,REAL MADRID,REAL MADRID,REAL MADRID,REAL MADRID,1,3,2,2,3,0
皇家社会,RSO,82,16,181,BRAVO,1,MIKEL GONZALEZ,3,INIGO MARTINEZ,6,MARTINEZ C.,2,ALBERTO,24,MARKEL,5,ILLARRAMENDI,8,GRIEZMANN,7,G. CASTRO,18,XAVI PRIETO,10,C. VELA,11,ZUBIKARAI,13,ANSOTEGUI,15,ESTRADA,22,CADAMURO,19,J. ANGEL,20,PARDO,14,JAVI ROS,23,GORKA E.,4,ZURUTUZA,17,AGIRRETXE,9,IFRAN,21,,255,,255,,255,,255,,255,,255,,255,,255,,255,,255,7,7,8,8,7,10,9,255,255,255,255,-,10x64,10x41,13x88,13x16,21x42,24x65,31x87,31x17,32x52,41x49,0,7,1,9,8,12,19,23,22,26,38,0,0,0,17,17,1,17,40,48,40,16,1,0,0,1,1,0,1,1,1,1,1,-,10x64,10x41,13x88,13x16,21x42,24x65,31x87,31x17,32x52,41x49,0,7,1,9,8,12,19,23,22,26,38,0,0,0,17,17,1,17,40,48,40,16,1,0,0,1,1,0,1,1,1,1,1,-,10x64,10x41,13x88,13x16,21x42,24x65,31x87,31x17,32x52,41x49,0,7,1,9,8,12,19,23,22,26,38,0,0,0,17,17,1,17,40,48,40,16,1,0,0,1,1,0,1,1,1,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,11,10,10,8,11,11,11,0,2,2,2,2,2,2,2,2,2,2,2,11,10,10,8,11,11,11,0,2,2,2,2,2,2,2,2,2,2,2,11,10,10,8,11,11,11,0,Real Sociedad,REAL SOCIEDAD,REAL SOCIEDAD,REAL SOCIEDAD,REAL SOCIEDAD,皇家蘇斯達,REAL SOCIEDAD,皇家社会,REAL SOCIEDAD,REAL SOCIEDAD,REAL SOCIEDAD,REAL SOCIEDAD,РЕАЛ СОСЬЕДАД,Ρ. ΣΟΣΙΕΔΑΔ,REAL SOCIEDAD,REAL SOCIEDAD,REAL SOCIEDAD,REAL SOCIEDAD,REAL SOCIEDAD,REAL SOCIEDAD,1,3,2,2,4,0
塞维利亚,SEV,74,16,182,BETO,13,FAZIO,2,SPAHIC,4,CICINHO,21,F. NAVARRO,3,MEDEL,8,KONDOGBIA,22,JESUS NAVAS,7,REYES,19,IVAN,11,NEGREDO,9,A. PALOP,1,CALA,5,BOTIA,24,COKE,23,J. CAMPANA,6,MADURO,12,JAVI HERVAS,17,STEVANOVIC,18,PEROTTI,10,TROCHOWSKI,15,M. D. MORAL,14,BABA,20,JULIAN CUESTA,29,SALVA RIVAS,27,ALEX RUBIO,28,D. MEYLER,30,,255,,255,,255,,255,,255,9,9,8,9,9,10,10,255,255,255,255,-,12x63,12x41,14x88,14x16,23x63,24x41,32x88,32x16,33x53,42x48,0,7,1,9,8,21,19,23,22,26,38,0,0,0,16,17,40,40,48,24,40,16,1,0,0,1,1,1,1,1,1,1,1,-,12x63,12x41,14x88,14x16,23x63,24x41,32x88,32x16,33x53,42x48,0,7,1,9,8,21,19,23,22,26,38,0,0,0,16,17,40,40,48,24,40,16,1,0,0,1,1,1,1,1,1,1,1,-,12x63,12x41,14x88,14x16,23x63,24x41,32x88,32x16,33x53,42x48,0,7,1,9,8,21,19,23,22,26,38,0,0,0,16,17,40,40,48,24,40,16,1,0,0,1,1,1,1,1,1,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,12,11,12,6,11,11,11,0,2,2,2,2,2,2,2,2,2,2,2,12,11,12,6,11,11,11,0,2,2,2,2,2,2,2,2,2,2,2,12,11,12,6,11,11,11,0,Sevilla,SEVILLA FC,SEVILLA FC,SEVILLA FC,SEVILLA FC,西維爾,SEVILLA FC,塞维利亚,SEVILLA FC,SEVILLA FC,SEVILLA FC,SEVILLA FC,ФК СЕВИЛЬЯ,ΣΕΒΙΓΙΑ,SEVILLA FC,SEVILLA FC,SEVILLA FC,SEVILLA FC,SEVILLA FC,SEVILLA FC,1,3,2,2,3,0
瓦伦西亚,VAL,70,16,183,DIEGO,1,RAMI,4,COSTA,20,J.PEREIRA,12,A. CISSOKHO,3,ALBELDA,6,T. COSTA,24,FEGHOULI,8,EVER BANEGA,10,JONAS,7,SOLDADO,9,GUAITA,13,VICTOR RUIZ,18,BARRAGAN,14,MATHIEU,22,A. GUARDADO,17,BERNAT,28,CANALES,23,PAREJO,21,PIATTI,11,JONATHAN VIERA,15,VALDEZ,16,,255,,255,,255,,255,,255,,255,,255,,255,,255,,255,6,6,1,6,6,10,5,255,255,255,255,-,11x64,11x42,13x89,13x17,23x63,24x42,34x86,32x55,36x22,42x51,0,7,1,9,8,12,19,23,26,33,38,0,0,0,17,17,68,17,40,48,48,48,1,0,0,1,1,1,1,1,1,1,1,-,11x64,11x42,13x89,13x17,23x63,24x42,34x86,32x55,36x22,42x51,0,7,1,9,8,12,19,23,26,33,38,0,0,0,17,17,68,17,40,48,48,48,1,0,0,1,1,1,1,1,1,1,1,-,11x64,11x42,13x89,13x17,23x63,24x42,34x86,32x55,36x22,42x51,0,7,1,9,8,12,19,23,26,33,38,0,0,0,17,17,68,17,40,48,48,48,1,0,0,1,1,1,1,1,1,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,12,11,13,8,12,12,13,0,2,2,2,2,2,2,2,2,2,2,2,12,11,13,8,12,12,13,0,2,2,2,2,2,2,2,2,2,2,2,12,11,13,8,12,12,13,0,Valencia,VALENCIA CF,VALENCIA CF,VALENCIA CF,VALENCIA CF,華倫西亞,VALENCIA CF,瓦伦西亚,VALENCIA CF,VALENCIA CF,VALENCIA CF,VALENCIA CF,ФК ВАЛЕНСИЯ,ΒΑΛΕΝΘΙΑ,VALENCIA CF,VALENCIA CF,VALENCIA CF,VALENCIA CF,VALENCIA CF,VALENCIA CF,1,3,2,1,2,0
巴拉多利德,VAD,84,16,184,HERNANDEZ,13,SERENO,5,M. VALIENTE,4,RUKAVINA,2,BALENZIAGA,24,ALVARO,18,LLUIS SASTRE,16,EBERT,20,OMAR,14,O. GONZALEZ,10,JAVI GUERRA,9,JAIME,1,JESUS,6,JAVIER BARAJA,8,PENA,17,V. PEREZ,22,LOLO PLA,27,RUBEN P.,28,RAMA,23,NEIRA,7,LARSSON,11,A. BUENO,15,MANUCHO,25,,255,,255,,255,,255,,255,,255,,255,,255,,255,7,7,9,7,7,9,5,255,255,255,255,-,10x63,10x41,13x87,12x16,22x42,24x62,31x87,31x18,33x49,41x53,0,7,1,9,8,12,19,23,22,26,38,0,0,0,17,17,17,17,24,48,40,40,1,1,1,1,1,1,1,1,1,1,1,-,10x63,10x41,13x87,12x16,22x42,24x62,31x87,31x18,33x49,41x53,0,7,1,9,8,12,19,23,22,26,38,0,0,0,17,17,17,17,24,48,40,40,1,1,1,1,1,1,1,1,1,1,1,-,10x63,10x41,13x87,12x16,22x42,24x62,31x87,31x18,33x49,41x53,0,7,1,9,8,12,19,23,22,26,38,0,0,0,17,17,17,17,24,48,40,40,1,1,1,1,1,1,1,1,1,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,10,10,11,8,10,10,11,0,2,2,2,2,2,2,2,2,2,2,2,10,10,11,8,10,10,11,0,2,2,2,2,2,2,2,2,2,2,2,10,10,11,8,10,10,11,0,Valladolid,REAL VALLADOLID,REAL VALLADOLID,REAL VALLADOLID,REAL VALLADOLID,華拉度列,REAL VALLADOLID,巴拉多利德,REAL VALLADOLID,REAL VALLADOLID,REAL VALLADOLID,REAL VALLADOLID,ВАЛЬЯДОЛИД,ΒΑΓΙΑΔΟΛΙΔ,REAL VALLADOLID,REAL VALLADOLID,REAL VALLADOLID,REAL VALLADOLID,REAL VALLADOLID,REAL VALLADOLID,1,3,2,1,4,0
萨拉戈萨,ZAR,87,16,185,ROBERTO,1,LOOVENS,16,ALVARO,4,SAPUNARU,19,ABRAHAM,21,JOSE MARI,15,MOVILLA,2,APONO,10,ROCHINA,24,MONTANES,11,H.POSTIGA,9,LEO FRANCO,13,FERNANDEZ,14,PAREDES,3,PINTER,22,ZUCULINI,20,ROMARIC,12,EDU ORIOL,8,BABOVIC,17,A. CARMONA,25,VICTOR,32,RODRI,6,BIENVENU,7,LANZARO,5,OBRADOVIC,28,JAVI ALAMO,23,WILCHEZ,18,KEVIN LACRUZ,29,JORGE ORTI,26,,255,,255,,255,7,7,9,9,9,7,0,255,255,255,255,-,9x64,9x40,13x87,13x17,20x52,26x67,27x35,32x86,32x17,42x52,0,7,1,9,8,12,21,17,23,22,38,0,0,0,17,17,17,40,17,40,40,16,1,0,0,1,1,0,1,1,1,1,1,-,9x64,9x40,13x87,13x17,20x52,26x67,27x35,32x86,32x17,42x52,0,7,1,9,8,12,21,17,23,22,38,0,0,0,17,17,17,40,17,40,40,16,1,0,0,1,1,0,1,1,1,1,1,-,9x64,9x40,13x87,13x17,20x52,26x67,27x35,32x86,32x17,42x52,0,7,1,9,8,12,21,17,23,22,38,0,0,0,17,17,17,40,17,40,40,16,1,0,0,1,1,0,1,1,1,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,9,9,9,8,9,10,11,0,2,2,2,2,2,2,2,2,2,2,2,9,9,9,8,9,10,11,0,2,2,2,2,2,2,2,2,2,2,2,9,9,9,8,9,10,11,0,Zaragoza,REAL ZARAGOZA,REAL ZARAGOZA,REAL ZARAGOZA,REAL ZARAGOZA,薩拉戈薩,REAL ZARAGOZA,萨拉戈萨,REAL ZARAGOZA,REAL ZARAGOZA,REAL ZARAGOZA,REAL ZARAGOZA,РЕАЛ САРАГОСА,ΣΑΡΑΓΟΣΑ,REAL ZARAGOZA,REAL ZARAGOZA,REAL ZARAGOZA,REAL ZARAGOZA,REAL ZARAGOZA,REAL ZARAGOZA,1,3,2,1,4,0
科英布拉大学,ACA,2,16,186,PEISER,1,FLAVIO FERREIRA,4,FERREIRA,35,RODRIGO GALO,22,JOAO DIAS,2,BRUNO CHINA,14,MAKELELE,8,CLEYTON,20,OGU,30,MARINHO,7,EDINHO,36,RICARDO,12,HALLICHE,5,JUNIOR LOPES,3,REAL,13,NIVALDO,26,CABRAL,55,A. KEITA,6,AFONSO,77,AMESSAN,88,CISSE,92,CARLOS SALEIRO,39,WILSON EDUARDO,28,FABIO SANTOS,24,M. PAULO,21,,255,,255,,255,,255,,255,,255,,255,3,3,9,3,3,10,1,255,255,255,255,-,12x65,12x40,14x90,14x11,20x51,25x67,29x41,37x83,39x14,41x53,0,7,1,9,8,12,21,17,30,29,38,0,16,16,16,16,1,24,80,192,20,16,1,1,1,2,2,0,0,1,2,2,2,-,12x65,12x40,14x90,14x11,20x51,25x67,29x41,37x83,39x14,41x53,0,7,1,9,8,12,21,17,30,29,38,0,16,16,16,16,1,24,80,192,20,16,1,1,1,2,2,0,0,1,2,2,2,-,12x65,12x40,14x90,14x11,20x51,25x67,29x41,37x83,39x14,41x53,0,7,1,9,8,12,21,17,30,29,38,0,16,16,16,16,1,24,80,192,20,16,1,1,1,2,2,0,0,1,2,2,2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,14,11,9,3,9,12,11,0,2,2,2,2,2,2,2,2,2,2,2,14,11,9,3,9,12,11,0,2,2,2,2,2,2,2,2,2,2,2,14,11,9,3,9,12,11,0,Académica,ARATALCAO,ARATALCAO,ARATALCAO,ARATALCAO,科英布拉大學,ARATALCAO,科英布拉大学,ARATALCAO,ARATALCAO,ARATALCAO,ARATALCAO,АРАТАЛЬКАО,ΑΡΑΤΑΛΚΑΟ,ARATALCAO,ARATALCAO,ARATALCAO,ARATALCAO,ARATALCAO,ARATALCAO,1,3,2,1,3,0
